timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ, label_id
7, 0.11, 0.13, 11.60, -0.01, 0.02, 0.01, normal
104, 0.14, 0.13, 11.59, -0.01, 0.02, 0.02, normal
204, 0.13, 0.13, 11.60, -0.01, 0.02, 0.02, normal
304, 0.09, 0.11, 11.60, -0.01, 0.02, 0.02, normal
404, 0.13, 0.13, 11.60, -0.01, 0.02, 0.02, normal
736, 0.11, 0.12, 11.60, -0.01, 0.02, 0.02, normal
740, 0.09, 0.12, 11.58, -0.01, 0.02, 0.02, normal
840, 0.56, -1.21, 11.85, 0.05, 0.04, 0.03, lombofaixa
940, 0.65, -0.07, 12.62, -0.03, -0.01, -0.01, lombofaixa
1040, 0.95, -1.44, 11.43, -0.21, 0.04, 0.01, lombofaixa
1140, 2.21, 1.05, 12.53, -0.22, 0.05, 0.03, lombofaixa
1240, -0.45, -2.06, 12.90, -0.11, 0.03, 0.05, lombofaixa
1340, -1.47, 3.50, 12.15, 0.26, 0.03, 0.04, lombofaixa
1440, 0.28, -2.33, 10.44, -0.08, 0.07, 0.04, lombofaixa
1540, 0.54, 2.00, 12.64, -0.31, 0.15, 0.06, lombofaixa
1640, 2.37, 6.80, 12.23, 0.13, 0.11, 0.01, lombofaixa
1740, 2.52, 4.16, 12.18, 0.23, -0.04, 0.08, lombofaixa
1840, 2.78, 2.67, 11.73, 0.29, 0.03, 0.08, lombofaixa
1940, -0.20, -4.82, 6.94, 0.11, 0.29, 0.33, lombofaixa
2040, 1.95, 3.13, 10.64, 0.03, 0.03, 0.07, lombofaixa
2140, 0.29, -4.93, 8.07, 1.88, 0.03, -0.13, lombofaixa
2240, 1.56, -2.57, 11.09, -0.02, 0.09, 0.04, lombofaixa
2340, -5.18, -2.10, 12.19, 0.11, 0.28, -0.10, lombofaixa
2440, 1.27, 3.00, 10.18, 0.11, 0.02, 0.13, lombofaixa
2540, 1.90, -4.19, 5.84, -2.47, 0.01, -0.02, lombofaixa
2640, -3.15, 1.18, 12.65, -0.25, 0.13, 0.02, lombofaixa
2740, -0.92, 4.22, 11.84, -0.12, 0.25, 0.06, lombofaixa
2840, -0.62, 3.96, 11.93, -0.03, 0.14, 0.10, lombofaixa
2940, 2.04, 1.53, 11.60, 0.10, 0.09, 0.07, lombofaixa
3238, 2.91, -0.61, 11.07, 0.00, 0.04, 0.01, lombofaixa
3338, -1.06, 1.81, 10.71, 0.07, 0.05, 0.17, lombofaixa
3438, 0.25, 0.66, 11.61, -0.03, -0.04, -0.02, lombofaixa
3538, 0.11, 0.88, 11.70, -0.01, 0.02, 0.03, lombofaixa
3638, 0.07, 0.26, 11.92, -0.01, 0.01, 0.01, lombofaixa
3738, 0.10, 0.16, 11.65, -0.01, 0.02, 0.01, lombofaixa
3838, 0.06, 0.15, 11.60, -0.01, 0.02, 0.02, lombofaixa
3938, 0.09, 0.13, 11.60, -0.01, 0.02, 0.02, lombofaixa
4038, 0.06, 0.14, 11.59, -0.01, 0.02, 0.02, lombofaixa
5, 0.35, 0.09, 11.61, -0.01, 0.02, 0.02, normal
103, 0.31, 0.08, 11.60, -0.01, 0.02, 0.02, normal
403, 0.37, 0.08, 11.60, -0.01, 0.02, 0.02, normal
502, -0.46, -3.02, 13.71, 0.06, 0.20, -0.02, tartaruga
602, -1.46, 2.62, 13.92, 0.09, 0.07, -0.02, tartaruga
702, -2.62, -0.47, 13.42, -0.16, 0.14, 0.01, tartaruga
802, 0.85, -2.80, 10.15, -0.11, 0.05, 0.04, tartaruga
902, 0.57, -3.58, 9.29, -0.05, -0.01, 0.03, tartaruga
1002, -0.10, 2.66, 12.13, -0.11, 0.16, -0.01, tartaruga
1102, 11.88, 5.92, 19.91, -1.78, -1.41, 0.04, tartaruga
1202, -13.87, 2.77, 22.16, 1.73, -1.25, 0.07, tartaruga
1302, -4.92, -11.35, 25.85, 0.91, -1.01, 0.33, tartaruga
1402, 0.34, -21.84, 20.58, -1.45, -1.10, 0.59, tartaruga
1502, 2.79, 0.50, 13.17, 0.05, -0.11, -0.03, tartaruga
1602, -1.54, -0.07, 10.74, -0.06, 0.07, 0.07, tartaruga
1702, 2.38, -0.77, 12.24, 0.14, -0.04, 0.06, tartaruga
1963, -0.43, 0.88, 10.75, 0.09, -0.04, 0.11, tartaruga
2063, 0.80, 4.50, 9.39, 0.02, 0.20, 0.06, tartaruga
2163, -3.43, 1.96, 16.08, -0.13, 0.05, 0.10, tartaruga
2263, -1.22, 0.93, 11.40, -0.10, 0.01, 0.05, tartaruga
2363, -0.57, 1.19, 12.10, -0.04, 0.05, 0.04, tartaruga
2463, 0.64, 1.56, 10.85, -0.01, 0.00, -0.00, tartaruga
2563, 0.29, 0.12, 11.51, -0.00, 0.01, 0.01, normal
2663, 0.38, 0.14, 11.60, -0.01, 0.02, 0.02, normal
2763, 0.38, 0.12, 11.61, -0.01, 0.02, 0.02, normal
2863, 0.38, 0.12, 11.62, -0.01, 0.02, 0.02, normal
2963, 0.36, 0.11, 11.61, -0.01, 0.02, 0.02, normal
3063, 0.40, 0.12, 11.59, -0.01, 0.02, 0.01, normal
2, -0.37, 0.11, 11.56, -0.01, 0.02, 0.02, normal
14, -0.36, 0.11, 11.55, -0.01, 0.02, 0.02, normal
105, -0.35, 0.08, 11.55, -0.01, 0.02, 0.02, normal
205, -0.34, 0.12, 11.57, -0.01, 0.02, 0.01, normal
305, -0.33, 0.09, 11.57, -0.01, 0.02, 0.02, normal
405, -0.34, 0.11, 11.55, -0.01, 0.02, 0.02, normal
661, -0.34, 0.09, 11.57, -0.01, 0.02, 0.02, buracoMaior
760, 0.33, -1.12, 10.52, 0.01, 0.01, 0.06, buracoMaior
860, -1.31, -0.22, 11.52, 0.03, 0.03, 0.04, buracoMaior
960, 1.20, -2.92, 10.46, -0.10, 0.05, 0.02, buracoMaior
1060, 1.26, -3.94, 10.51, 0.07, 0.08, 0.00, buracoMaior
1160, 0.13, 4.07, 11.80, -0.24, -0.11, 0.00, buracoMaior
1260, -0.74, 6.17, 11.55, -0.07, 0.02, 0.01, buracoMaior
1360, 1.19, 3.10, 11.53, -0.14, 0.00, -0.02, buracoMaior
1460, 0.33, -0.63, 10.19, -0.23, 0.00, 0.05, buracoMaior
1560, -2.44, -2.61, 12.49, -0.00, 0.07, 0.02, buracoMaior
1660, -4.84, -0.73, 16.55, -0.70, 0.79, 0.15, buracoMaior
1760, -3.26, 0.48, 11.30, -0.52, 0.02, -0.01, buracoMaior
1860, 0.61, 0.42, 6.91, 0.00, -0.07, 0.02, buracoMaior
1960, 1.77, -0.41, 10.85, 0.12, -0.00, 0.08, buracoMaior
