timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
75, -0.22, 0.15, 11.54, -0.01, 0.02, 0.02
132, -0.22, 0.15, 11.57, -0.01, 0.02, 0.02
232, -0.21, 0.13, 11.54, -0.01, 0.02, 0.02
332, -0.22, 0.12, 11.58, -0.01, 0.02, 0.02
432, -0.22, 0.13, 11.56, -0.01, 0.02, 0.02
532, -0.22, 0.14, 11.55, -0.01, 0.02, 0.02
632, -0.23, 0.13, 11.55, -0.01, 0.02, 0.02
732, -0.23, 0.12, 11.54, -0.01, 0.02, 0.02
832, -0.23, 0.11, 11.56, -0.01, 0.02, 0.02
932, -0.26, 0.14, 11.56, -0.01, 0.02, 0.02
1177, -0.25, 0.12, 11.53, -0.00, -0.07, -0.07
1276, -0.12, -1.72, 12.98, 0.02, -0.04, 0.01
1376, 0.55, -1.36, 13.80, -0.05, 0.03, 0.07
1476, -0.34, -1.12, 13.59, -0.00, -0.06, 0.12
1576, -0.98, -2.47, 12.89, 0.02, 0.21, 0.06
1676, -4.24, 1.11, 15.01, 0.08, -0.03, 0.08
1776, 0.16, 1.95, 11.34, -0.10, 0.14, 0.06
1876, -1.11, -1.32, 10.67, -0.04, 0.18, 0.02
1976, 0.91, 0.81, 11.25, -0.20, 0.05, 0.07
2076, 0.55, 2.91, 11.90, -0.24, 0.00, 0.12
2176, -1.55, -1.09, 10.09, 0.30, 0.02, 0.19
2276, -1.17, 1.13, 8.55, -0.64, -0.14, 0.28
2376, 0.09, -2.18, 9.68, -0.19, -0.09, 0.08
