timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
10, -0.36, 0.14, 11.53, -0.01, 0.02, 0.02
103, -0.33, 0.15, 11.56, -0.01, 0.02, 0.02
381, -0.35, 0.16, 11.54, -0.01, 0.02, 0.02
480, -0.61, -1.93, 12.77, 0.06, 0.09, 0.05
580, -0.72, -1.38, 9.89, -0.04, 0.10, -0.05
680, 0.60, -2.67, 9.60, -0.10, 0.14, -0.03
780, 2.01, 3.45, 11.65, 0.09, -0.05, 0.06
880, 0.07, 1.92, 10.27, 0.03, 0.04, 0.01
980, 0.85, -1.92, 10.80, 0.03, -0.10, 0.05
1080, -2.55, -0.93, 11.94, -0.22, 0.00, -0.04
1180, -1.52, 0.16, 13.27, -0.20, 0.03, 0.03
1280, 0.82, 0.19, 10.62, -0.15, -0.08, 0.12
1380, 3.84, 4.41, 15.15, 0.67, -1.15, 0.07
1480, 0.74, -3.51, 11.66, 0.00, 0.06, -0.01
1580, -4.89, -3.82, 17.85, -0.11, 0.08, -0.11
1875, 0.14, 0.67, 10.26, 0.09, 0.03, -0.03
1974, 0.49, 5.00, 11.17, 0.01, -0.03, 0.02
