timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
1068, 0.09, 0.12, 11.62, -0.01, 0.02, 0.02 
1167, 0.21, -1.63, 12.14, -0.00, 0.02, 0.11
1267, 1.09, -2.51, 11.28, 0.02, 0.07, 0.11
1367, -1.24, 0.32, 11.95, -0.08, -0.02, 0.10
1467, -2.72, 1.33, 11.01, 0.09, 0.07, 0.09
1567, -1.01, 3.04, 12.21, -0.08, -0.07, 0.05
1667, 0.72, -2.36, 10.28, -0.18, 0.08, 0.09
1767, -1.18, 6.13, 12.68, -0.01, -0.07, 0.05
1867, -2.44, 2.26, 14.03, 0.37, 0.05, 0.08
1967, 0.52, -3.27, 11.27, 0.28, 0.16, 0.03
2067, 0.65, -3.16, 10.27, 0.04, 0.18, -0.02
2167, 0.71, -4.66, 10.15, -0.18, 0.10, 0.09
2267, 0.86, -2.78, 10.71, -0.24, -0.10, 0.01
2367, 1.56, -4.60, 10.72, -0.18, -0.05, 0.10
2467, -7.29, -1.97, 16.88, -0.86, 0.82, 0.27
2567, -0.78, 2.98, 13.88, 0.01, 0.02, 0.10
2667, -0.37, -4.33, 8.16, 0.30, -0.25, -0.03
2767, 1.05, 1.97, 11.46, -0.23, 0.18, 0.05
2867, 3.67, 0.92, 11.69, 1.30, -0.40, -0.06
2967, 3.12, 0.29, 9.46, 0.08, 0.14, 0.09
3067, -1.91, 0.81, 9.90, -0.95, -0.31, 0.13
3167, 1.38, -3.98, 12.34, -0.12, -0.12, 0.15
3267, 0.99, -3.88, 11.10, 0.09, 0.06, 0.10
3367, 0.87, -4.39, 10.30, 0.12, 0.03, 0.13
3467, 0.28, -4.47, 9.69, 0.05, -0.02, 0.09
3704, -1.06, -0.95, 11.77, -0.27, 0.01, 0.12
3804, 0.59, -0.65, 10.63, 0.13, 0.06, 0.03
3904, -1.25, 1.32, 10.46, -0.05, -0.07, 0.07
