timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, 0.33, 0.12, 11.60, -0.01, 0.02, 0.02
287, 0.33, 0.12, 11.58, -0.01, 0.02, 0.02
386, 0.06, -1.98, 11.77, -0.06, 0.00, 0.07
486, 1.23, 0.61, 12.70, -0.06, 0.01, 0.01
586, 0.47, 1.49, 12.09, 0.04, 0.03, 0.00
686, 1.03, -3.27, 10.14, -0.13, -0.07, 0.00
786, 1.67, -2.61, 9.77, -0.05, -0.02, 0.01
886, 3.86, 1.21, 10.94, 0.03, 0.17, 0.03
986, -0.93, 0.84, 11.95, -0.13, 0.02, 0.05
1086, 7.43, 24.89, 23.83, -1.48, -0.75, -0.15
1186, 2.75, -1.73, 8.67, -0.24, -0.20, 0.05
1286, -1.45, 0.46, 9.69, 1.03, 0.09, 0.07
1386, 2.09, 2.55, 9.90, 0.06, -0.05, 0.09
1486, 1.51, 0.82, 9.50, 0.39, -0.07, 0.05
1586, -0.47, -1.32, 11.67, -0.62, -0.01, -0.01
1686, 3.22, -6.39, 6.02, -0.50, -0.09, 0.07
1786, -1.43, 4.02, 12.61, -0.00, 0.03, 0.09
1886, -0.09, -0.05, 12.53, 0.07, 0.03, -0.02
1986, 1.59, -0.72, 9.86, 0.14, 0.05, -0.02
2086, 0.94, -1.61, 10.51, 0.12, 0.04, 0.00
2399, -1.62, 1.62, 12.31, -0.14, 0.06, 0.05
2498, 2.31, 2.59, 8.89, -0.02, -0.19, 0.10
2598, -0.17, 1.65, 11.42, 0.09, 0.03, 0.04
2698, 0.01, 1.42, 11.99, -0.03, 0.01, 0.05
2798, 0.33, 1.50, 11.82, 0.01, 0.01, -0.05
2898, 0.29, 0.26, 11.62, -0.01, 0.02, 0.02
2998, 0.34, 0.08, 11.56, -0.01, 0.02, 0.02
3098, 0.37, 0.14, 11.57, -0.01, 0.02, 0.02
3198, 0.32, 0.13, 11.58, -0.01, 0.02, 0.02
