timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
1052, -1.30, -3.11, 12.65, -0.03, -0.07, 0.07
1152, -2.27, 4.64, 13.28, 0.07, -0.13, 0.02
1266, -1.71, 0.98, 12.68, 0.24, 0.29, 0.24
1352, -0.33, 2.79, 13.30, 0.04, 0.03, 0.05
1452, -1.20, -0.80, 12.33, 0.13, -0.06, 0.05
1552, -0.88, 2.45, 13.35, 0.03, -0.06, 0.09
1652, 7.08, 0.54, 4.67, -1.40, 0.49, -0.54
1752, 18.03, 19.62, 20.50, -0.21, -2.28, 0.00
1852, 7.16, -3.00, 15.96, 1.42, -1.33, 0.87
1952, 2.89, -10.07, 6.90, -1.89, -0.19, 0.05
2273, -0.31, -1.77, 10.88, -0.25, 0.12, 0.01
2386, -2.40, 5.54, 9.42, -0.12, -0.53, 0.13
2472, -2.67, 1.96, 11.47, -0.12, -0.11, 0.09
2572, -1.07, 1.53, 12.19, -0.06, 0.07, 0.11
2672, -0.23, 1.01, 11.12, 0.01, 0.05, 0.05
2772, -0.66, 1.22, 11.98, -0.01, 0.02, 0.06
