timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
74, -0.27, 0.14, 11.54, -0.01, 0.02, 0.02
132, -0.25, 0.13, 11.58, -0.01, 0.02, 0.02
232, -0.27, 0.15, 11.53, -0.01, 0.02, 0.02
332, -0.26, 0.15, 11.58, -0.01, 0.02, 0.02
432, -0.24, 0.16, 11.57, -0.01, 0.02, 0.02
532, -0.23, 0.15, 11.54, -0.01, 0.02, 0.02
632, -0.24, 0.16, 11.57, -0.01, 0.02, 0.02
732, -0.21, 0.15, 11.55, -0.01, 0.02, 0.02
1012, -0.25, 0.15, 11.52, -0.01, 0.02, 0.02
1111, -0.03, -0.80, 11.62, -0.04, 0.06, 0.02
1211, -0.07, -1.54, 12.08, 0.07, 0.02, 0.09
1311, -0.39, 1.14, 13.27, 0.07, 0.01, 0.09
1411, 0.30, -3.11, 11.10, 0.20, 0.01, 0.12
1511, -2.36, -2.72, 11.73, -0.07, -0.24, 0.19
1611, -4.20, -1.85, 11.83, -0.32, 0.17, 0.00
1711, 6.54, 5.31, 14.74, -0.03, -0.45, -0.04
1811, -0.95, 2.35, 11.58, -0.02, 0.11, 0.11
1911, -1.89, 0.30, 9.77, -0.29, 0.31, 0.24
2011, -0.62, 0.96, 8.27, 0.05, 0.58, -0.02
2111, 1.60, 4.24, 6.11, 0.03, -0.26, 0.09
2376, -3.49, 3.26, 13.92, 0.13, -0.06, 0.07
