timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.35, 0.13, 11.54, -0.01, 0.02, 0.02
309, -0.34, 0.12, 11.57, -0.01, 0.02, 0.02
409, -1.73, -0.01, 10.96, -0.08, -0.02, 0.02
509, 2.03, -4.14, 10.42, -0.20, 0.15, -0.00
609, 0.38, 3.65, 11.21, -0.14, -0.13, 0.03
709, -2.58, -0.05, 13.19, 0.16, -0.07, 0.05
809, 0.98, 1.72, 11.94, -0.04, -0.04, 0.05
909, -2.36, -0.48, 11.26, 0.09, 0.02, 0.06
1009, -1.64, -2.32, 11.15, 0.09, 0.08, 0.05
1109, -3.98, -3.19, 6.03, 0.05, -0.31, 0.05
1209, -8.19, 19.15, 31.63, -0.01, 0.03, 0.27
1309, -0.40, 0.93, 13.76, 0.40, 0.43, -0.18
1560, -1.98, -1.61, 10.88, -0.05, 0.00, 0.01
1659, -1.51, 3.39, 9.79, 0.01, -0.18, 0.05
1759, -0.72, 0.35, 12.64, -0.03, -0.05, 0.09
1859, -1.32, 1.09, 11.77, -0.01, -0.05, -0.00
1959, -0.36, 0.99, 11.43, -0.01, 0.01, 0.02
2059, -0.20, -0.25, 11.48, -0.01, 0.02, 0.02
2159, -0.35, 0.07, 11.57, -0.01, 0.02, 0.02
