timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
1608, 2.00, -0.03, 11.55, -0.00, 0.03, 0.04
1708, 1.52, 0.42, 11.98, -0.07, 0.06, 0.05
1808, 1.91, 0.83, 11.84, 0.02, 0.00, 0.03
1908, -0.70, -2.14, 11.27, -0.04, -0.02, -0.02
2008, 0.36, -1.01, 12.39, -0.20, 0.12, 0.03
2108, 0.38, -2.11, 11.78, -0.06, 0.06, 0.04
2208, -1.63, -2.89, 10.42, 0.12, -0.03, 0.01
2308, 2.02, 5.21, 12.41, -0.02, 0.08, 0.03
2408, -1.45, -1.36, 12.94, -0.18, 0.11, 0.04
2508, 2.46, -0.13, 9.38, 0.22, -0.12, 0.03
2608, -0.91, 0.59, 13.81, -0.17, 0.08, 0.06
2708, 3.78, -0.30, 9.20, 0.19, -0.08, 0.06
2808, -4.96, -2.07, 14.15, -0.09, 0.20, 0.18
2908, 1.31, 0.37, 11.84, 0.05, 0.10, 0.06
3008, -2.23, -3.91, 10.26, 1.25, -0.17, 0.01
3108, 1.70, -0.57, 9.83, -0.15, 0.22, 0.02
3208, 1.65, 0.02, 5.76, 1.15, 0.60, 0.28
3308, 0.28, -0.61, 9.96, -0.09, -0.13, 0.04
3408, -0.62, -0.16, 10.24, -0.96, 0.17, 0.06
3508, -3.84, -1.46, 15.39, 0.12, -0.01, 0.08
3608, -1.06, -1.65, 12.75, -0.23, 0.01, 0.01
3708, 0.68, 1.13, 10.82, 0.28, -0.09, 0.01
3808, -1.38, -1.15, 11.28, -0.19, -0.06, -0.01
3908, 2.20, 2.24, 11.16, 0.14, -0.01, 0.03
4008, -1.81, -2.67, 12.59, -0.17, 0.01, 0.01
4108, 4.56, 3.83, 8.48, 0.02, -0.03, 0.03
4208, -3.23, -2.00, 13.61, -0.11, -0.01, 0.04
4308, 2.18, 0.00, 10.30, -0.07, -0.02, 0.05
4408, 1.06, -0.28, 10.21, -0.02, 0.02, 0.00
4508, 1.77, 1.18, 10.91, -0.05, 0.21, 0.02
4608, -2.34, -1.25, 11.55, 0.07, -0.17, 0.02
4708, 1.38, 1.06, 11.22, -0.01, 0.20, 0.04
5035, 3.55, -1.37, 10.11, 0.10, 0.17, 0.00
5134, 0.70, 0.06, 12.26, -0.04, 0.10, 0.07
5234, -1.30, 0.59, 12.51, -0.06, 0.01, -0.01
5334, 0.02, 1.15, 11.74, -0.03, -0.01, 0.02
5435, 0.09, -0.38, 11.68, -0.01, 0.02, 0.01
