timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
573, 0.44, -1.64, 11.85, -0.04, 0.01, 0.08
673, -0.96, 0.91, 12.56, 0.00, -0.07, 0.02
773, 0.23, -0.83, 12.14, 0.05, 0.06, 0.02
873, 0.32, -0.96, 11.78, -0.21, -0.01, 0.06
973, -0.52, 2.58, 13.57, -0.14, -0.06, 0.03
1073, 1.72, -1.54, 11.28, -0.19, -0.05, 0.03
1173, 2.49, -1.74, 8.42, 0.09, 0.17, 0.04
1273, -2.18, 3.47, 14.48, 0.02, -0.01, 0.05
1373, 1.70, -3.40, 12.40, -0.13, 0.02, 0.07
1473, -0.81, 2.50, 12.01, 0.18, 0.05, 0.01
1573, 1.58, -3.15, 10.53, -0.03, -0.03, 0.02
1673, -2.74, 5.81, 12.67, -0.07, -0.01, 0.05
1773, -0.96, -1.47, 9.19, -0.41, -0.24, 0.13
1873, 0.56, 0.48, 10.90, -0.32, -0.05, 0.03
1973, 2.36, -3.64, 5.95, 1.77, -0.08, -0.10
2073, 1.93, 1.55, 13.23, -0.06, -0.13, 0.01
2173, 0.65, -0.14, 9.58, 0.57, -0.12, -0.25
2273, -0.27, -1.41, 8.73, 0.09, 0.12, 0.02
2373, 3.62, 4.66, 8.90, -1.19, -0.01, 0.00
2473, -2.68, 0.06, 11.91, -0.12, 0.21, 0.01
2573, 1.80, 1.79, 10.82, 0.18, -0.10, 0.03
