timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, 0.42, 0.13, 11.58, -0.01, 0.02, 0.02
104, 0.37, 0.13, 11.58, -0.01, 0.02, 0.02
204, 0.42, 0.14, 11.60, -0.01, 0.02, 0.02
304, 0.39, 0.13, 11.61, -0.01, 0.02, 0.02
404, 0.39, 0.12, 11.57, -0.01, 0.02, 0.02
677, 0.38, 0.11, 11.61, -0.01, 0.02, 0.02
776, 0.76, -0.88, 11.47, 0.01, 0.01, 0.03
876, 0.48, -0.69, 11.04, 0.01, -0.02, 0.06
976, -0.84, -1.34, 11.78, 0.02, -0.03, 0.05
1076, 0.26, -0.75, 11.61, -0.11, 0.02, -0.00
1177, 0.71, -1.68, 13.19, -0.07, 0.08, -0.01
1276, -0.51, -0.88, 11.69, 0.04, -0.03, -0.02
1376, 1.24, 2.26, 12.47, 0.03, 0.05, 0.03
1476, -0.26, -1.05, 10.84, 0.01, 0.07, -0.06
1576, 1.29, 1.94, 12.47, -0.08, 0.06, 0.01
1676, -0.76, -0.54, 10.91, 0.15, -0.02, 0.01
1776, 0.55, -2.00, 12.50, -0.17, 0.10, -0.01
1876, -0.06, 2.39, 9.35, -0.01, -0.12, 0.03
1976, -0.65, -1.48, 9.67, -0.57, 0.09, -0.00
2076, 0.70, -2.87, 10.90, -0.14, 0.04, 0.05
2176, 0.75, 0.88, 12.88, 0.22, -0.02, 0.03
2276, -0.51, -3.23, 7.85, 1.35, 0.01, -0.05
2376, -0.03, -2.18, 12.76, -0.02, -0.06, 0.07
2476, 2.37, 1.50, 11.27, 0.41, -0.00, 0.04
2576, 0.45, -0.22, 11.08, 0.08, -0.07, 0.07
2676, 0.14, -0.32, 10.99, -0.23, 0.01, 0.07
2776, -2.43, 3.32, 14.93, -1.23, 0.02, 0.08
2876, 2.64, 3.28, 10.76, 0.05, -0.04, 0.04
2976, 2.62, 0.91, 10.64, 0.05, 0.05, -0.02
3229, -2.32, -0.68, 13.04, -0.08, -0.06, 0.01
3328, -0.71, -0.64, 12.21, 0.03, -0.04, 0.02
3428, 0.60, 1.09, 10.65, -0.03, -0.02, 0.00
3528, 0.17, 0.56, 11.88, -0.00, 0.03, 0.02
3628, 0.35, 0.00, 11.60, -0.01, 0.02, 0.01
3728, 0.37, 0.14, 11.61, -0.01, 0.02, 0.01
3828, 0.38, 0.11, 11.62, -0.01, 0.02, 0.02
3928, 0.38, 0.13, 11.57, -0.01, 0.02, 0.02
4028, 0.39, 0.12, 11.60, -0.01, 0.02, 0.01
4128, 0.37, 0.11, 11.59, -0.01, 0.02, 0.02
