timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
1327, 0.47, 0.37, 9.11, -0.06, -0.02, 0.06
1427, -0.76, -0.60, 11.17, -0.11, -0.05, 0.03
1527, 2.38, 0.48, 9.75, -0.01, 0.01, 0.01
1627, -1.55, -2.63, 11.37, 0.00, 0.02, 0.07
1727, 0.54, 0.19, 10.78, 0.01, -0.04, -0.02
1827, 1.69, -1.37, 3.77, -1.41, 0.86, -0.65
1927, 16.90, 17.50, 22.50, -0.17, -0.90, -0.03
2027, 6.81, -1.82, 1.32, 0.75, -0.20, 0.69
2127, -0.50, -13.85, 26.58, -0.01, 0.11, 0.17
2227, 1.66, -0.40, 11.37, 0.06, 0.03, 0.05
2487, 1.03, 1.53, 12.50, -0.07, -0.01, 0.05
2586, -0.23, 4.13, 11.87, 0.19, 0.09, 0.09
2686, -2.04, -0.67, 12.60, -0.06, -0.22, 0.12
2786, -0.65, 0.10, 11.25, 0.06, -0.04, 0.02
2886, -0.13, 1.33, 11.46, 0.00, -0.02, 0.06
